ville;population;pct_france;candidat;id;liste;programme_complet;nb_propositions;site_campagne;email;type_email;twitter;source_contact;statut_contact
Paris;2145906;3.17;Emmanuel Grégoire;gregoire;Gauche unie (PS-Écologistes);OUI;0;https://emmanuel-gregoire-2026.fr/;emmanuel.gregoire@assemblee-nationale.fr;institutionnel;;assemblee-nationale.fr;EMAIL OK
Paris;2145906;3.17;Pierre-Yves Bournazel;bournazel;Renaissance/Horizons;OUI;0;https://bournazel.paris/;pierre-yves@bournazel.paris;campagne;;bournazel.paris;EMAIL OK
Paris;2145906;3.17;Rachida Dati;dati;LR;NON;0;https://rachidadati2026.com/kit-militant/;contact@rachida-dati.com;campagne;;rachidadati2026.com;EMAIL OK
Paris;2145906;3.17;Sarah Knafo;knafo;Reconquête;OUI;0;https://unevilleheureuse.fr/;contact@sarahpourparis.fr;campagne;;sarahpourparis.fr;EMAIL OK
Paris;2145906;3.17;Sophia Chikirou;chikirou;LFI;OUI;0;https://sophiapourparis.fr/;sophia.chikirou@assemblee-nationale.fr;institutionnel;;assemblee-nationale.fr;EMAIL OK
Paris;2145906;3.17;Thierry Mariani;mariani;RN;NON;0;https://www.mariani-2026.fr/;;;;mariani-2026.fr (à vérifier manuellement);SITE A VERIFIER
Marseille;873076;1.29;Benoît Payan;payan;Printemps Marseillais (PS);NON;0;https://www.pourmarseille.fr/;bpayan@mairie-marseille.fr;institutionnel;;mairie-marseille.fr;EMAIL OK
Marseille;873076;1.29;Erwan Davoux;davoux;Marseille Pour Tous;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Marseille;873076;1.29;Franck Allisio;allisio;Rassemblement National;NON;0;;;;;franckallisio2026.fr (à vérifier);A RECHERCHER
Marseille;873076;1.29;Martine Vassal;vassal;LR / Centre;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Marseille;873076;1.29;Sébastien Delogu;delogu;Marseille Fière et Populaire (LFI);OUI;0;https://sebastiendelogu2026.fr/programme/sommaire/;contact@sebastiendelogu2026.fr;campagne;;sebastiendelogu2026.fr;EMAIL OK
Lyon;522969;0.77;Alexandre Dupalais;dupalais;Rassemblement National;NON;0;;;;;;A RECHERCHER
Lyon;522969;0.77;Anaïs Belouassa Cherifi;belouassa;Lyon Fière et Populaire (LFI);NON;0;;;;;;A RECHERCHER
Lyon;522969;0.77;Georges Képénékian;kepenekian;Lyon Modérément;NON;0;;;;;lyonquellenergie.fr (à vérifier);A RECHERCHER
Lyon;522969;0.77;Grégory Doucet;doucet;Pour Vivre Lyon;OUI;0;https://www.pourvivrelyonmunicipales2026.fr/programme;;;;pourvivrelyonmunicipales2026.fr (à vérifier);SITE A VERIFIER
Lyon;522969;0.77;Jean-Michel Aulas;aulas;Cœur Lyonnais;NON;0;https://coeurlyonnais.fr/pacte-lyonnais/;;;;coeurlyonnais.fr (à vérifier);SITE A VERIFIER
Lyon;522969;0.77;Nathalie Perrin-Gilbert;perrin-gilbert;Lyon en commun;NON;0;;nathalie.perrin-gilbert@mairie-lyon.fr;institutionnel;;lyon.fr;EMAIL OK
Toulouse;504078;0.74;Arthur Cottrel;cottrel;J'aime Toulouse (Reconquête);NON;0;https://reconquete-toulouse.fr/;contact@reconquete-toulouse.fr;campagne;;reconquete-toulouse.fr;EMAIL OK
Toulouse;504078;0.74;François Briançon;briancon;La gauche unie pour Toulouse (PS/EELV/PCF);NON;0;;;;;vivremieuxtoulouse.fr (à vérifier);A RECHERCHER
Toulouse;504078;0.74;François Piquemal;piquemal;Demain Toulouse (LFI);OUI;0;https://piquemal2026.fr/le-programme/;contact@demaintoulouse.fr;campagne;;piquemal2026.fr;EMAIL OK
Toulouse;504078;0.74;Jean-Luc Moudenc;moudenc;Protégeons l'avenir (DVD);OUI;0;https://moudenc2026.fr/;;;;moudenc2026.fr (formulaire uniquement);SITE A VERIFIER
Toulouse;504078;0.74;Julien Leonardelli;leonardelli;Le bon sens toulousain (RN);NON;0;https://www.lebonsenstoulousain.fr/;;;;;SITE A VERIFIER
Toulouse;504078;0.74;Lambert Meilhac & Domitille Allorant;meilhac;Nouvel Air (Équinoxe);NON;0;https://www.toulouse-nouvel-air.fr/;;;;;SITE A VERIFIER
Toulouse;504078;0.74;Malena Adrada;adrada;Le camp des travailleurs (LO);NON;0;;midi-pyrenees@lutte-ouvriere.org;parti;;lutte-ouvriere.org;EMAIL OK
Nice;342669;0.51;Christian Estrosi;estrosi;Nice au coeur (Horizons);OUI;0;https://estrosi2026.fr/;ecrit.presse@estrosi2026.fr;presse;;estrosi2026.fr;EMAIL OK
